Comuna,Poblacion,Infectados,Suceptibles,Expuestos,Asintomaticos,UCI,Muerto,Recuperados,Cuarentenados,Time,Prevalencia,K_g,p_G,K_0,Fecha,Cuarentena,Estrategia
san felipe,76844,3.6013488963987,76804.72831372272,22.014763200355464,8.986010681747635,0.11912071996512416,0.0036,4.546842778811618,0,2,4.686571360677086,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
santa maria,15241,0,15237.255592934613,1.7444070653873003,0,0,0,2,0,2,0,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
santo domingo,10900,8.711423749515344,10850.832261962312,12.901584191532283,20.855928491133916,0.29354853211009174,0.0084,6.396853073394496,2.0574885090640983e-15,2,79.92131880289307,4.46248055030483,0.19999999999999998,0.5,2020-04-16,Cuarentena,Cuarentena dinámica
valparaiso,296655,22.973194187297416,296424.55329039466,114.15286345148277,56.85188606002432,0.7880783323220577,0.0228,35.657887574202356,0,2,7.744077863948835,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
villa alemana,126548,4.8159195585415375,126493.4393236507,27.551445580071842,11.976243378720337,0.16442184293706735,0.0048,10.04784598903183,0,2,3.8056070096260215,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
viña del mar,334248,45.080842193401814,333854.2004463954,179.96416898921098,110.58738080097086,1.5924719938937555,0.044399999999999995,56.53028962711819,0,2,13.487243661413624,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
zapallar,7339,0,7338.497827476688,0.5021725233120217,0,0,0,0,0,2,0,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
algarrobo,13817,3.343889217846519,13785.359482815662,11.490092274190589,7.791004199152037,0.17988726483732018,0.008168674140551493,8.827475554170372,0,3,24.201268132347973,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
cabildo,19388,0,19384.160438731233,2.9299164563374593,0.9096448124280383,0,0,0,0,3,0,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
calera,50554,7.865383353006967,50490.0831240278,25.745230054329138,19.028430045642654,0.3627571424403714,0.018322575721011196,10.896752801058273,0,3,15.558379857196199,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
calle larga,14832,3.1342567551074016,14812.830552861684,7.063475144088998,6.854830459584532,0.1365171633859981,0.007120445833333333,2.0132471703162818,0,3,21.131720301425307,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
cartagena,22738,3.231234976889561,22704.117887865046,18.9400174665162,9.640862027478757,0.1644410365278538,0.007796726334769988,1.9377599012081625,0,3,14.210726435436543,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
casablanca,26867,3.173416999716867,26831.201081011237,19.697392000381477,9.830158438435623,0.14119653535833981,0.0072329434101313875,2.949522071461707,0,3,11.811579259749385,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
catemu,13998,0,13992.908338904075,4.118892336584981,0.9727687593385472,0,0,0,0,3,0,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
concon,42152,9.458915076202336,42090.05712410847,23.969132474251193,21.19131894473217,0.41503472860780305,0.021492788973239703,6.886981878768544,0,3,22.440014889453256,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
el quisco,15955,6.685965065796547,15915.869796376983,14.769155172849578,13.643143668411206,0.37558323844899744,0.01672227188968975,3.719634205620962,0,3,41.90513986710465,11.549922201219323,0.39999999999999997,0.5,2020-04-17,Cuarentena,Cuarentena dinámica
el tabo,13286,3.378814603874369,13261.83644759784,10.293214508302768,7.492877553010241,0.18756551414929715,0.008354331988559385,2.8027258908349455,0,3,25.43139096699058,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
hijuelas,17988,0,17980.38160053131,6.162894049413449,1.4555054192758285,0,0,0,0,3,0,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
juan fernandez,926,0,925.2405565087179,0.614947490028106,0.14449600125381715,0,0,0,0,3,0,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
la ligua,35390,0,35374.090983032045,11.20103242359316,2.707984544363206,0,0,2,0,3,0,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
limache,46121,15.821566173009135,46023.82566237389,33.965366003904535,33.87564021645623,0.749609843980575,0.03722845697187832,12.724926931789119,0,3,34.30447339175026,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
llaillay,24608,3.163436774680915,24586.023663592812,9.335467843528619,7.374654990824042,0.1420642602359314,0.007254429835825749,1.9934581080854952,0,3,12.855318492689024,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
los andes,66708,6.365637736081724,66644.00123689565,32.46169604639984,17.98461746845444,0.28213661627192727,0.014458961575822993,6.890216275576083,0,3,9.542540229180494,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
nogales,22120,0,22112.01563444892,6.456924644478076,1.5274409066022283,0,0,0,0,3,0,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
olmue,17516,1.6146968866362286,17498.46346847321,9.964944333564404,4.921446381193503,0.08018910668756038,0.0038489425039963466,0.9714058762112074,0,3,9.218411090638437,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
panquehue,7273,0,7268.768478877077,3.4194676625029095,0.8120534604199862,0,0,0,0,3,0,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
papudo,6356,0,6354.619070512857,1.11629692706615,0.2646325600763163,0,0,0,0,3,0,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
petorca,9826,8.181615235194588,9792.727169439086,4.923030212536822,14.043244660876766,0.39224956009264306,0.019029090372481173,5.7136618018418535,1.6754371347339119e-15,3,83.2649627029777,3.2812402751524155,0.09999999999999999,0.5,2020-04-17,Cuarentena,Cuarentena dinámica
puchuncavi,18546,0,18543.20959315806,2.2573843203952406,0.5330225215471817,0,0,0,0,3,0,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
putaendo,16754,1.6030484777951093,16742.649591629386,4.149652539255405,3.556631645268311,0.07764430043316267,0.0037874124746329232,1.9596439953868214,0,3,9.568153741166942,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
quillota,90517,17.437706240611394,90380.1369806938,58.624611766206016,42.25418989162757,0.8059166133055695,0.040495939445629,17.70009885499777,0,3,19.264564933229554,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
quilpue,151708,17.644300006740576,151560.92204412905,64.45726500703849,43.529763584122804,0.8485150687875614,0.04152549248688269,20.556586711781158,0,3,11.63043478705182,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
quintero,31923,1.5743529356501103,31898.841794040924,12.894627865170031,5.634275704160878,0.07323977100912187,0.0036812263321116434,3.9780284567609803,0,3,4.931719874855466,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
rinconada,10207,3.13862123978476,10189.146583976684,5.997921227781017,6.602098921082944,0.13484108391182292,0.007079483942392476,2.0128540668132904,0,3,30.74969373748173,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
san antonio,91350,23.94678097165217,91148.8253454451,95.76080676333656,61.803092602481065,1.085009723546169,0.05487560591133005,18.524088887971438,0,3,26.214319618666853,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
san esteban,18855,0,18849.570160887295,4.392705569290047,1.0371335434154156,0,0,0,0,3,0,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
san felipe,76844,4.7220066176423705,76783.45909363979,33.87596482158937,15.77757784525779,0.2075411269076814,0.01074724319790745,5.947068705607696,0,3,6.14492558643794,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
santa maria,15241,0,15235.099087161601,3.1554397335319604,0.7454731048663676,0,0,2,0,3,0,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
santo domingo,10900,11.431890262448393,10849.96101906265,8.259329573446662,20.162028485275222,0.5233274757093983,0.026012911926605504,9.636392228543066,2.0575075832597703e-15,3,104.87972717842563,3.2812402751524155,0.09999999999999999,0.5,2020-04-17,Cuarentena,Cuarentena dinámica
valparaiso,296655,30.12709351682465,296320.7279472516,169.19493161528982,89.00964036008605,1.3976832612842975,0.07008469993932345,44.472619294977974,0,3,10.155599439357049,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
villa alemana,126548,6.314966940983396,126467.18990879964,42.02673838836792,20.257075657268693,0.29053727752250696,0.014665310576224042,11.906107625645696,0,3,4.990175222827225,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
viña del mar,334248,59.12980776294309,333704.60942251066,252.64742834864077,155.00506998042766,2.864928630679981,0.13994831963362533,73.6033944470041,0,3,17.69039987163516,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
zapallar,7339,0,7337.8777487758325,0.9076475817270003,0.21460364244103494,0,0,0,0,3,0,11.549922201219323,0.39999999999999997,0,2020-04-17, Sin cuarentena,Cuarentena dinámica
algarrobo,13817,4.468107080431481,13778.127491698486,13.811787547695927,10.278773579758502,0.28402827391585206,0.018961910030790702,10.010849909681367,0,4,32.33775117921025,11.549922201219323,0.39999999999999997,0,2020-04-18, Sin cuarentena,Cuarentena dinámica
cabildo,19388,0.31155024857896396,19381.768776364243,4.0694777736102115,1.8501956135659372,0,0,0,0,4,1.6069230894314213,11.549922201219323,0.39999999999999997,0,2020-04-18, Sin cuarentena,Cuarentena dinámica
calera,50554,10.348685551498248,50469.39612184076,35.42999717542297,24.305226848436053,0.5593661582427987,0.04008800426743348,13.920514421377371,0,4,20.47055732780442,11.549922201219323,0.39999999999999997,0,2020-04-18, Sin cuarentena,Cuarentena dinámica
calle larga,14832,3.864939687810116,14808.34298226635,8.53246661801816,7.845959711416981,0.20889460735308804,0.015311475636493217,3.229445633416423,0,4,26.058115478762918,11.549922201219323,0.39999999999999997,0,2020-04-18, Sin cuarentena,Cuarentena dinámica
cartagena,22738,4.94792803988227,22688.693261877586,26.2706188956388,14.72071339586374,0.2572414181093573,0.017663188526441213,3.132573184397552,0,4,21.76061236644502,11.549922201219323,0.39999999999999997,0,2020-04-18, Sin cuarentena,Cuarentena dinámica
casablanca,26867,4.934510597805654,26816.840809808484,25.639974314080167,15.189698803143225,0.21701329242442519,0.015704735531631778,4.162288448529648,0,4,18.366436884675082,11.549922201219323,0.39999999999999997,0,2020-04-18, Sin cuarentena,Cuarentena dinámica
catemu,13998,0.33268015693375813,13989.218722043679,6.048298796730159,2.400299002654781,0,0,0,0,4,2.3766263532916,11.549922201219323,0.39999999999999997,0,2020-04-18, Sin cuarentena,Cuarentena dinámica
concon,42152,11.884810920491518,42071.45163387648,32.33140370015368,25.117928399891284,0.636204786039667,0.046394872689707885,10.531623444262172,0,4,28.19512934259707,11.549922201219323,0.39999999999999997,0,2020-04-18, Sin cuarentena,Cuarentena dinámica
el quisco,15955,8.267985673404096,15913.371336307046,10.956010468066095,15.77612397031743,0.5953855314469635,0.039257266196629594,6.073900783524326,4.42508515530383e-15,4,51.82065605392728,6.82496110060966,0.19999999999999998,0.5,2020-04-18,Cuarentena,Cuarentena dinámica
el tabo,13286,4.412875624094703,13254.784454470335,12.946398016875635,9.559060705542723,0.29732833378562257,0.019608262837517213,3.9802745865296556,0,4,33.21447857966809,11.549922201219323,0.39999999999999997,0,2020-04-18, Sin cuarentena,Cuarentena dinámica
hijuelas,17988,0.49756751294568485,17974.913120788726,8.997658386264797,3.591653312062387,0,0,0,0,4,2.766108032831248,11.549922201219323,0.39999999999999997,0,2020-04-18, Sin cuarentena,Cuarentena dinámica
juan fernandez,926,0.049822101228662555,924.750346787592,0.8423591384924429,0.35747197268673836,0,0,0,0,4,5.3803565041752215,11.549922201219323,0.39999999999999997,0,2020-04-18, Sin cuarentena,Cuarentena dinámica
la ligua,35390,0.9279017585856452,35364.82215050488,15.6830989577747,6.566848778766091,0,0,2,0,4,2.6219320672100737,11.549922201219323,0.39999999999999997,0,2020-04-18, Sin cuarentena,Cuarentena dinámica
limache,46121,19.389399869635888,46000.356122392346,42.91979230857282,38.33798031662683,1.1604561199704888,0.08220504761071282,18.754043945245304,0,4,42.040285053741,11.549922201219323,0.39999999999999997,0.5,2020-04-18,Cuarentena,Cuarentena dinámica
llaillay,24608,4.082162311526247,24579.4438971231,11.925718140794318,9.148464096006814,0.21850605732062242,0.01577828544998163,3.2054739858066723,0,4,16.588761018881044,11.549922201219323,0.39999999999999997,0,2020-04-18, Sin cuarentena,Cuarentena dinámica
los andes,66708,9.324350838058935,66616.0141474341,46.57626582998032,26.30417590686044,0.4335971091650973,0.031387158552138625,9.316075723272036,0,4,13.977859983898389,11.549922201219323,0.39999999999999997,0,2020-04-18, Sin cuarentena,Cuarentena dinámica
nogales,22120,0.5213928654445731,22105.69643532207,10.016754265142849,3.765417547344868,0,0,0,0,4,2.357110603275647,11.549922201219323,0.39999999999999997,0,2020-04-18, Sin cuarentena,Cuarentena dinámica
olmue,17516,2.5077197724995464,17490.720476160714,13.44941342658364,7.638213421542852,0.1251080956870531,0.00866028890524997,1.5704088340697635,0,4,14.316737682687522,11.549922201219323,0.39999999999999997,0,2020-04-18, Sin cuarentena,Cuarentena dinámica
panquehue,7273,0.2769703537989312,7265.912900905089,4.813734667609858,1.9963940735026404,0,0,0,0,4,3.808199557251907,11.549922201219323,0.39999999999999997,0,2020-04-18, Sin cuarentena,Cuarentena dinámica
papudo,6356,0.09036201070595438,6353.736772031936,1.5215454391560244,0.6513205182020501,0,0,0,0,4,1.4216804705153303,11.549922201219323,0.39999999999999997,0,2020-04-18, Sin cuarentena,Cuarentena dinámica
petorca,9826,9.067047071572425,9792.6748889978,2.8714515886343297,12.01721021581323,0.6105866087531135,0.04256406397803976,8.7162514534482,1.6757916471198437e-15,4,92.27607441046636,2.6906201375762078,0.049999999999999996,0.5,2020-04-18,Cuarentena,Cuarentena dinámica
