Comuna,Poblacion,Infectados,Suceptibles,Expuestos,Asintomaticos,UCI,Muerto,Recuperados,Cuarentenados,Time,Prevalencia,K_g,p_G,K_0,Fecha,Cuarentena,Estrategia
algarrobo,13817,2,13797.3,5.58,5.12,0.04,0,6.959999999999999,0,1,14.474922197293191,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
cabildo,19388,0,19388,0,0,0,0,0,0,1,0,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
calera,50554,5,50516.25,13.95,12.8,0.1,0,5.9,0,1,9.890414210547139,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
calle larga,14832,2,14819.3,5.58,5.12,0.04,0,0,0,1,13.484358144552319,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
cartagena,22738,2,22725.3,5.58,5.12,0.04,0,0,0,1,8.795848359574281,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
casablanca,26867,2,26853.3,5.58,5.12,0.04,0,0.96,0,1,7.444076376223621,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
catemu,13998,0,13998,0,0,0,0,0,0,1,0,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
concon,42152,6,42112.9,16.740000000000002,15.36,0.12,0,0.88,0,1,14.234200037957867,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
el quisco,15955,4,15929.6,11.16,10.24,0.08,0,0,0,1,25.070510811657787,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
el tabo,13286,2,13272.3,5.58,5.12,0.04,0,0.96,0,1,15.053439710973956,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
hijuelas,17988,0,17988,0,0,0,0,0,0,1,0,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
juan fernandez,926,0,926,0,0,0,0,0,0,1,0,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
la ligua,35390,0,35388,0,0,0,0,2,0,1,0,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
limache,46121,10,46054.5,27.9,25.6,0.2,0,2.8,0,1,21.68209709243078,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
llaillay,24608,2,24595.300000000003,5.58,5.12,0.04,0,0,0,1,8.12743823146944,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
los andes,66708,4,66679.6,11.16,10.24,0.08,0,2.92,0,1,5.996282304970919,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
nogales,22120,0,22120,0,0,0,0,0,0,1,0,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
olmue,17516,1,17509.65,2.79,2.56,0.02,0,0,0,1,5.709065996802924,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
panquehue,7273,0,7273,0,0,0,0,0,0,1,0,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
papudo,6356,0,6356,0,0,0,0,0,0,1,0,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
petorca,9826,5,9793.25,13.95,12.8,0.1,0,0.9000000000000001,0,1,50.885406065540415,6.82496110060966,0.39999999999999997,0.5,2020-04-15,Cuarentena,Cuarentena dinámica
puchuncavi,18546,0,18546,0,0,0,0,0,0,1,0,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
putaendo,16754,1,16746.65,2.79,2.56,0.02,0,0.98,0,1,5.968723886832994,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
quillota,90517,11.000000000000002,90440.15,30.690000000000005,28.16,0.22,0,6.780000000000001,0,1,12.15241335881658,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
quilpue,151708,11,151628.15,30.69,28.16,0.22,0,9.78,0,1,7.250771218393228,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
quintero,31923,1,31913.65,2.79,2.56,0.02,0,2.98,0,1,3.132537668765467,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
rinconada,10207,2,10194.3,5.58,5.12,0.04,0,0,0,1,19.594396002743217,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
san antonio,91350,15,91250.75,41.85,38.4,0.3,0,3.6999999999999997,0,1,16.420361247947454,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
san esteban,18855,0,18855,0,0,0,0,0,0,1,0,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
san felipe,76844,3,76821.95,8.370000000000001,7.68,0.06,0,2.94,0,1,3.9040133256988185,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
santa maria,15241,0,15239,0,0,0,0,2,0,1,0,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
santo domingo,10900,7,10852.55,19.53,17.92,0.14,0,2.86,0,1,64.22018348623853,6.82496110060966,0.39999999999999997,0.5,2020-04-15,Cuarentena,Cuarentena dinámica
valparaiso,296655,19,296508.35,53.01,48.64,0.38,0,25.62,0,1,6.404746254066172,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
villa alemana,126548,4,126514.6,11.16,10.24,0.08,0,7.92,0,1,3.160855959793912,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
viña del mar,334248,37,333975.05,103.23,94.72,0.74,0,37.26,0,1,11.06962494913956,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
zapallar,7339,0,7339,0,0,0,0,0,0,1,0,11.549922201219323,0.39999999999999997,0,2020-04-15, Sin cuarentena,Cuarentena dinámica
algarrobo,13817,2.546804849618255,13791.96419032564,8.53119428974351,5.937934657454971,0.09614456900919156,0.0024,7.921331308532967,0,2,18.43240102495661,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
cabildo,19388,0,19385.87143113892,2.1285688610816096,0,0,0,0,0,2,0,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
calera,50554,5.9988012172949805,50504.558810090646,19.679651447814102,14.977930404033014,0.20537626201685327,0.006,8.573430578193614,0,2,11.866125761156349,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
calle larga,14832,2.3906592669355176,14816.408210148893,6.087174466492457,5.99437514410921,0.07867409722222223,0.0024,1.0785068763484358,0,2,16.11825287847571,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
cartagena,22738,2.4628938853235858,22715.77168309124,12.7237015241475,5.9682651706789045,0.08994543891283314,0.0024,1.0211108897000616,0,2,10.831620570514495,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
casablanca,26867,2.4198279325736882,26843.39861146257,13.096773152815445,5.983831818736898,0.08054905683552313,0.0024000000000000002,2.0180065764692747,0,2,9.006691973698919,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
catemu,13998,0,13995.723721103148,2.2762788968522005,0,0,0,0,0,2,0,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
concon,42152,7.213797488916598,42102.68999424971,19.796159596444777,17.968009259919118,0.23821314955399506,0.0072,4.0866262554564425,0,2,17.113772748426168,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
el quisco,15955,5.092259003378592,15923.467515857377,12.523253373391718,11.876357538337292,0.1987045314948292,0.0048,1.9171096960200564,0,2,31.916383599991175,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
el tabo,13286,2.5728191638159803,13267.619593943757,7.875790671626343,5.928531506062088,0.09923886647598976,0.0024,1.9016258482613277,0,2,19.364889084871145,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
hijuelas,17988,0,17984.59411731889,3.405882681105439,0,0,0,0,0,2,0,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
juan fernandez,926,0,925.661879357066,0.33812064293393207,0,0,0,0,0,2,0,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
la ligua,35390,0,35381.663316166196,6.336683833809902,0,0,0,2,0,2,0,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
limache,46121,12.065234782633748,46040.79192948096,29.684993595964247,29.93141437434964,0.4204742828646386,0.012,8.093953483228898,0,2,26.159959200003794,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
llaillay,24608,2.4123941218309173,24591.156552176417,7.338832438969566,5.986518848935313,0.08090716393042914,0.0024000000000000002,1.0623952499187257,0,2,9.803292107570373,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
los andes,66708,4.853661903988637,66663.69563231515,22.295136915626387,11.962601005315289,0.1609826929303832,0.0048000000000000004,5.027185166996462,0,2,7.275981747299629,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
nogales,22120,0,22116.42578827855,3.574211721449214,0,0,0,0,0,2,0,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
olmue,17516,1.2307612287034828,17504.65057827553,6.597114032164038,2.9843804439650228,0.044149041733272436,0.0012000000000000001,0.5118169779059145,0,2,7.02649708097444,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
panquehue,7273,0,7271.099794902618,1.9002050973827675,0,0,0,0,0,2,0,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
papudo,6356,0,6355.380759809421,0.6192401905785802,0,0,0,0,0,2,0,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
petorca,9826,6.234347806128863,9792.841928723257,8.396532815205285,14.892789576638993,0.21715150620801957,0.006,3.411249572562589,1.6751472326794202e-15,2,63.44746393373563,4.46248055030483,0.19999999999999998,0.5,2020-04-16,Cuarentena,Cuarentena dinámica
puchuncavi,18546,0,18544.75272729958,1.247272700420405,0,0,0,0,0,2,0,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
putaendo,16754,1.222084864546626,16744.858323662316,3.389368645377807,2.9875166083507763,0.04312354124388206,0.0012,1.4983826781664078,0,2,7.294287122756511,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
quillota,90517,13.297070970481977,90413.35114174105,44.37347364357175,32.91540626286391,0.4549323240938167,0.0132,12.594775057944918,0,2,14.69013662680157,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
quilpue,151708,13.450953167777953,151598.11659876304,47.6080166215704,32.85978390100398,0.4720915414480449,0.0132,15.479356005154639,0,2,8.866344008079965,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
quintero,31923,1.2007108746116604,31907.03131956794,8.216372739756888,2.995242465034941,0.04135377220186073,0.0012,3.5138005804592303,0,2,3.7612720440173555,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
rinconada,10207,2.3939101708945296,10191.994326793832,5.501057821552388,5.9932000701919055,0.0779913990398746,0.0024000000000000002,1.0771137444890762,0,2,23.45361194175105,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
san antonio,91350,18.257572496843487,91204.21298078314,70.50240383225548,44.839388946885194,0.6145934318555007,0.017999999999999995,11.555060509031199,0,2,19.98639572725067,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
san esteban,18855,0,18852.573107508408,2.4268924915920724,0,0,0,0,0,2,0,11.549922201219323,0.39999999999999997,0,2020-04-16, Sin cuarentena,Cuarentena dinámica
